Rk,Gcar,Gtm,Date,Tm,,Opp,Rslt,Inngs,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GDP,SB,CS,BA,OBP,SLG,OPS,BOP,aLI,WPA,RE24,DFS(DK),DFS(FD),Pos
70,633,72,Jun 19,TOR,@,BAL,L6-11,CG,4,4,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,.274,.385,.563,.947,2,.98,-0.107,-1.02,,,DH
71,634,73,Jun 21,TOR,,ARI,L2-4,CG,4,3,0,2,0,0,0,0,1,0,0,0,0,0,0,1,0,0,.278,.389,.564,.953,3,1.33,-0.131,-0.67,,,3B
72,635,74,Jun 22,TOR,,ARI,W5-2,GS-9,4,3,1,1,1,0,0,0,0,0,2,1,0,0,0,0,0,0,.279,.391,.565,.956,2,.60,0.020,0.11,,,3B
73,636,75,Jun 24,TOR,@,CHW,L2-3,CG,5,4,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,.282,.394,.564,.958,2,1.92,0.183,0.81,,,3B
74,637,76,Jun 25,TOR,@,CHW,W10-8,CG,5,4,1,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,.285,.397,.563,.960,3,.93,0.152,1.47,,,DH
75,638,77,Jun 26,TOR,@,CHW,L2-5,CG,4,4,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,.288,.398,.562,.960,2,.93,-0.096,-0.77,,,3B
76,639,78,Jun 27,TOR,@,COL,L5-9,CG,4,4,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,.288,.396,.558,.954,3,.75,0.080,0.43,,,3B
77,640,79,Jun 28,TOR,@,COL,W14-9,CG,6,5,1,2,0,1,0,3,1,0,0,0,0,0,0,0,0,0,.290,.398,.562,.960,3,1.09,0.201,2.06,,,3B
78,641,80,Jun 29,TOR,@,COL,W5-3,CG,5,4,1,2,0,0,1,1,1,0,0,0,0,0,0,0,0,0,.293,.401,.571,.973,3,.53,0.162,1.68,,,3B
79,642,81,Jun 30,TOR,,CLE,L1-4,CG,4,4,1,1,0,0,1,1,0,0,2,0,0,0,0,1,0,0,.292,.399,.577,.977,3,1.06,-0.008,-0.11,,,3B
80,643,82,Jul 1,TOR,,CLE,L1-2,CG(19),9,6,0,0,0,0,0,0,2,1,1,1,0,0,0,0,0,0,.286,.398,.566,.964,2,2.21,-0.170,-0.63,,,3B
81,644,83,Jul 2,TOR,,CLE,W9-6,CG,5,4,3,2,0,0,1,2,1,0,1,0,0,0,0,0,1,0,.289,.401,.575,.975,3,1.91,0.387,1.55,,,DH
82,645,84,Jul 3,TOR,,CLE,W17-1,CG,6,4,4,4,1,0,0,1,2,1,0,0,0,0,0,0,0,0,.298,.410,.583,.994,2,.36,0.072,2.96,,,3B
83,646,85,Jul 4,TOR,,KCR,W6-2,CG,4,3,0,1,0,0,0,2,1,0,0,0,0,0,0,0,0,0,.298,.411,.581,.992,2,.62,0.045,1.53,,,DH
84,647,86,Jul 5,TOR,,KCR,W8-3,CG,4,4,4,3,0,0,2,2,0,0,0,0,0,0,0,0,0,0,.304,.415,.602,1.017,2,.38,0.170,2.02,,,3B
85,648,87,Jul 6,TOR,,KCR,W4-2,CG,4,3,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,.301,.413,.596,1.009,2,.77,-0.039,-0.25,,,3B
